run_number,weight_group,nominal_weight_kg,replicate_number,sample_index,port_used,capture_timestamp,time_ms,elapsed_ms,elapsed_s,raw_g,filtered_g,raw_kg,filtered_kg
1,2kg,2,1,1,COM16,2026-03-12 20:40:39,63683,2,0.002,-1999.709,-1999.709,-1.999709,-1.999709
1,2kg,2,1,2,COM16,2026-03-12 20:40:39,63783,102,0.102,-2000.643,-1999.849,-2.000643,-1.999849
1,2kg,2,1,3,COM16,2026-03-12 20:40:39,63883,202,0.202,-2000.354,-1999.925,-2.000354,-1.999925
1,2kg,2,1,4,COM16,2026-03-12 20:40:39,63983,302,0.302,-1999.566,-1999.871,-1.999566,-1.999871
1,2kg,2,1,5,COM16,2026-03-12 20:40:39,64083,402,0.402,-2000.475,-1999.962,-2.000475,-1.999962
1,2kg,2,1,6,COM16,2026-03-12 20:40:39,64183,502,0.502,-2000.832,-2000.092,-2.000832,-2.000092
1,2kg,2,1,7,COM16,2026-03-12 20:40:39,64283,602,0.602,-1999.926,-2000.068,-1.999926,-2.000068
1,2kg,2,1,8,COM16,2026-03-12 20:40:39,64383,702,0.702,-2000.242,-2000.094,-2.000242,-2.000094
1,2kg,2,1,9,COM16,2026-03-12 20:40:39,64483,802,0.802,-2001.731,-2000.339,-2.001731,-2.000339
1,2kg,2,1,10,COM16,2026-03-12 20:40:39,64533,852,0.852,-2001.596,-2000.528,-2.001596,-2.000528
1,2kg,2,1,11,COM16,2026-03-12 20:40:39,64633,952,0.952,-1999.808,-2000.42,-1.999808,-2.00042
1,2kg,2,1,12,COM16,2026-03-12 20:40:39,64733,1052,1.052,-1999.563,-2000.291,-1.999563,-2.000291
1,2kg,2,1,13,COM16,2026-03-12 20:40:39,64833,1152,1.152,-1999.25,-2000.135,-1.99925,-2.000135
1,2kg,2,1,14,COM16,2026-03-12 20:40:39,64933,1252,1.252,-1999.654,-2000.063,-1.999654,-2.000063
1,2kg,2,1,15,COM16,2026-03-12 20:40:39,65033,1352,1.352,-1999.107,-1999.92,-1.999107,-1.99992
1,2kg,2,1,16,COM16,2026-03-12 20:40:39,65133,1452,1.452,-1999.096,-1999.796,-1.999096,-1.999796
1,2kg,2,1,17,COM16,2026-03-12 20:40:39,65233,1552,1.552,-1999.703,-1999.782,-1.999703,-1.999782
1,2kg,2,1,18,COM16,2026-03-12 20:40:39,65333,1652,1.652,-1999.593,-1999.754,-1.999593,-1.999754
1,2kg,2,1,19,COM16,2026-03-12 20:40:39,65433,1752,1.752,-1999.679,-1999.743,-1.999679,-1.999743
1,2kg,2,1,20,COM16,2026-03-12 20:40:39,65533,1852,1.852,-2000.676,-1999.883,-2.000676,-1.999883
1,2kg,2,1,21,COM16,2026-03-12 20:40:39,65633,1952,1.952,-1999.948,-1999.893,-1.999948,-1.999893
1,2kg,2,1,22,COM16,2026-03-12 20:40:39,65733,2052,2.052,-1999.407,-1999.82,-1.999407,-1.99982
